tau,beta,gamma,frequency,up,down
0.2, 2.5000000000000002e-08, 4.9999999999999996e-05, 0.06, 0.3085823637409063, 14.116477632218663 
0.275, 2.5000000000000002e-08, 4.9999999999999996e-05, 0.07333333333333333, 0.35591918088638014, 11.181393149471523 
0.35000000000000003, 2.5000000000000002e-08, 4.9999999999999996e-05, 0.06666666666666667, 0.4619411384691207, 12.348400588748511 
0.4, 2.5000000000000002e-08, 4.9999999999999996e-05, 0.06666666666666667, 0.48411910835237004, 12.325867416144408 
0.8, 2.5000000000000002e-08, 4.9999999999999996e-05, 0.07333333333333333, 0.6710606857793985, 13.746145495474497 
1.2, 2.5000000000000002e-08, 4.9999999999999996e-05, 0.07333333333333333, 0.8697723897292327, 13.531258949443554 
1.6, 2.5000000000000002e-08, 4.9999999999999996e-05, 0.07333333333333333, 1.176104463505645, 13.200187813438651 
0.2, 3.3333333333333334e-08, 4.9999999999999996e-05, 0.04666666666666667, 0.19081046160813592, 19.011615128971886 
0.275, 3.3333333333333334e-08, 4.9999999999999996e-05, 0.04666666666666667, 0.2577439743188433, 18.97331983562994 
0.35000000000000003, 3.3333333333333334e-08, 4.9999999999999996e-05, 0.05333333333333334, 0.29745452850168835, 16.184352114994343 
0.4, 3.3333333333333334e-08, 4.9999999999999996e-05, 0.06, 0.3284515159386121, 14.0912526889956 
0.8, 3.3333333333333334e-08, 4.9999999999999996e-05, 0.06, 0.5515632249743033, 13.853988371550926 
1.2, 3.3333333333333334e-08, 4.9999999999999996e-05, 0.06, 0.6297078235619286, 13.77219462001079 
1.6, 3.3333333333333334e-08, 4.9999999999999996e-05, 0.07333333333333333, 0.6993053566790322, 13.718173281207333 
0.2, 5.0000000000000004e-08, 4.9999999999999996e-05, 0.02666666666666667, 0.13661429646551093, 25.193640983289935 
0.275, 5.0000000000000004e-08, 4.9999999999999996e-05, 0.03333333333333333, 0.1820191942670281, 19.481648229425442 
0.35000000000000003, 5.0000000000000004e-08, 4.9999999999999996e-05, 0.03333333333333333, 0.2117896223085069, 19.453176511332078 
0.4, 5.0000000000000004e-08, 4.9999999999999996e-05, 0.03333333333333333, 0.22757394321640506, 19.4369426369806 
0.8, 5.0000000000000004e-08, 4.9999999999999996e-05, 0.04666666666666667, 0.3553612934960796, 18.869756042331286 
1.2, 5.0000000000000004e-08, 4.9999999999999996e-05, 0.05333333333333334, 0.4300727943576048, 16.048201643510307 
1.6, 5.0000000000000004e-08, 4.9999999999999996e-05, 0.04666666666666667, 0.5534502394288341, 18.656967412370378 
0.2, 7.500000000000001e-08, 4.9999999999999996e-05, 0.013333333333333334, 0.04995038261993087, 75.89660936802777 
0.275, 7.500000000000001e-08, 4.9999999999999996e-05, 0.02, 0.10056677034146083, 37.88436819426037 
0.35000000000000003, 7.500000000000001e-08, 4.9999999999999996e-05, 0.02666666666666667, 0.12362719698432892, 25.207960092974314 
0.4, 7.500000000000001e-08, 4.9999999999999996e-05, 0.02666666666666667, 0.1438571019454009, 25.18698093227394 
0.8, 7.500000000000001e-08, 4.9999999999999996e-05, 0.03333333333333333, 0.23876282892326958, 19.426453056630415 
1.2, 7.500000000000001e-08, 4.9999999999999996e-05, 0.03333333333333333, 0.33926299875457044, 19.317311470605866 
1.6, 7.500000000000001e-08, 4.9999999999999996e-05, 0.03333333333333333, 0.41179095431871016, 28.438750840831442 
0.2, 1.0000000000000001e-07, 4.9999999999999996e-05, 0.0, 0.0, 0.0 
0.275, 1.0000000000000001e-07, 4.9999999999999996e-05, 0.0, 0.0, 0.0 
0.35000000000000003, 1.0000000000000001e-07, 4.9999999999999996e-05, 0.02, 0.04528834690873732, 37.94131163044709 
0.4, 1.0000000000000001e-07, 4.9999999999999996e-05, 0.02, 0.07858860198869123, 37.90884388174414 
0.8, 1.0000000000000001e-07, 4.9999999999999996e-05, 0.02666666666666667, 0.17532584299595735, 25.15800971035438 
1.2, 1.0000000000000001e-07, 4.9999999999999996e-05, 0.02666666666666667, 0.2275239928337851, 25.10206528182006 
1.6, 1.0000000000000001e-07, 4.9999999999999996e-05, 0.02666666666666667, 0.32817401381294586, 24.97752232782103 
