beta,gamma,seed,frequency,fp_e,fp_i
1.0000000000000001e-07, -0.0003, 100, 0.025, 156.56891293859746, 300.09109382202706 
1.0000000000000001e-07, -0.00025, 100, 0.025, 127.14604471027441, 245.99144131057005 
1.0000000000000001e-07, -0.00019999999999999998, 100, 0.025, 102.98579470382705, 201.10204185580352 
1.0000000000000001e-07, -0.00015, 100, 0.025, 83.00344884489732, 163.57982014322445 
1.0000000000000001e-07, -9.999999999999999e-05, 100, 0.025, 66.36596210258054, 131.9997887640279 
1.0000000000000001e-07, -4.9999999999999996e-05, 100, 0.025, 52.39999457489291, 105.19477619013762 
1.0000000000000001e-07, 0.0, 100, 0.025, 40.51554093743982, 82.11644840766917 
1.0000000000000001e-07, 4.9999999999999996e-05, 100, 0.025, 30.09157580624132, 61.61076541328625 
1.0000000000000001e-07, 9.999999999999999e-05, 100, 0.025, 19.843263323439903, 41.11743690971717 
1.0000000000000001e-07, 0.00015, 100, 0.0, 0.5245758842497412, 1.1431592325208857 
