beta,gamma_freq,gamma_amp,gamma_mean,frequency
5.0000000000000004e-08, 0.0, 0.0, 0.0, 0.26
5.0000000000000004e-08, 0.0, 28.571428571428573, 14.285714285714286, 0.205
5.0000000000000004e-08, 0.0, 57.142857142857146, 28.571428571428573, 0.1625
5.0000000000000004e-08, 0.0, 85.71428571428572, 42.85714285714286, 0.0975
5.0000000000000004e-08, 0.0, 114.28571428571429, 57.142857142857146, 0.035
5.0000000000000004e-08, 0.0, 142.85714285714286, 71.42857142857143, 0.015
5.0000000000000004e-08, 0.0, 171.42857142857144, 85.71428571428572, 0.0075
5.0000000000000004e-08, 0.0, 200.0, 100.0, 0.0
5.0000000000000004e-08, 7.142857142857143, 0.0, 0.0, 0.26
5.0000000000000004e-08, 7.142857142857143, 28.571428571428573, 14.285714285714286, 0.2175
5.0000000000000004e-08, 7.142857142857143, 57.142857142857146, 28.571428571428573, 0.1825
5.0000000000000004e-08, 7.142857142857143, 85.71428571428572, 42.85714285714286, 0.135
5.0000000000000004e-08, 7.142857142857143, 114.28571428571429, 57.142857142857146, 0.09
5.0000000000000004e-08, 7.142857142857143, 142.85714285714286, 71.42857142857143, 0.0525
5.0000000000000004e-08, 7.142857142857143, 171.42857142857144, 85.71428571428572, 0.025
5.0000000000000004e-08, 7.142857142857143, 200.0, 100.0, 0.0125
5.0000000000000004e-08, 14.285714285714286, 0.0, 0.0, 0.26
5.0000000000000004e-08, 14.285714285714286, 28.571428571428573, 14.285714285714286, 0.2125
5.0000000000000004e-08, 14.285714285714286, 57.142857142857146, 28.571428571428573, 0.1575
5.0000000000000004e-08, 14.285714285714286, 85.71428571428572, 42.85714285714286, 0.115
5.0000000000000004e-08, 14.285714285714286, 114.28571428571429, 57.142857142857146, 0.0625
5.0000000000000004e-08, 14.285714285714286, 142.85714285714286, 71.42857142857143, 0.03
5.0000000000000004e-08, 14.285714285714286, 171.42857142857144, 85.71428571428572, 0.01
5.0000000000000004e-08, 14.285714285714286, 200.0, 100.0, 0.005
5.0000000000000004e-08, 21.42857142857143, 0.0, 0.0, 0.26
5.0000000000000004e-08, 21.42857142857143, 28.571428571428573, 14.285714285714286, 0.21
5.0000000000000004e-08, 21.42857142857143, 57.142857142857146, 28.571428571428573, 0.1525
5.0000000000000004e-08, 21.42857142857143, 85.71428571428572, 42.85714285714286, 0.0975
5.0000000000000004e-08, 21.42857142857143, 114.28571428571429, 57.142857142857146, 0.065
5.0000000000000004e-08, 21.42857142857143, 142.85714285714286, 71.42857142857143, 0.0275
5.0000000000000004e-08, 21.42857142857143, 171.42857142857144, 85.71428571428572, 0.015
5.0000000000000004e-08, 21.42857142857143, 200.0, 100.0, 0.0075
5.0000000000000004e-08, 28.571428571428573, 0.0, 0.0, 0.26
5.0000000000000004e-08, 28.571428571428573, 28.571428571428573, 14.285714285714286, 0.21
5.0000000000000004e-08, 28.571428571428573, 57.142857142857146, 28.571428571428573, 0.165
5.0000000000000004e-08, 28.571428571428573, 85.71428571428572, 42.85714285714286, 0.11
5.0000000000000004e-08, 28.571428571428573, 114.28571428571429, 57.142857142857146, 0.065
5.0000000000000004e-08, 28.571428571428573, 142.85714285714286, 71.42857142857143, 0.03
5.0000000000000004e-08, 28.571428571428573, 171.42857142857144, 85.71428571428572, 0.0075
5.0000000000000004e-08, 28.571428571428573, 200.0, 100.0, 0.0075
5.0000000000000004e-08, 35.714285714285715, 0.0, 0.0, 0.26
5.0000000000000004e-08, 35.714285714285715, 28.571428571428573, 14.285714285714286, 0.205
5.0000000000000004e-08, 35.714285714285715, 57.142857142857146, 28.571428571428573, 0.16
5.0000000000000004e-08, 35.714285714285715, 85.71428571428572, 42.85714285714286, 0.11
5.0000000000000004e-08, 35.714285714285715, 114.28571428571429, 57.142857142857146, 0.06
5.0000000000000004e-08, 35.714285714285715, 142.85714285714286, 71.42857142857143, 0.025
5.0000000000000004e-08, 35.714285714285715, 171.42857142857144, 85.71428571428572, 0.01
5.0000000000000004e-08, 35.714285714285715, 200.0, 100.0, 0.0075
5.0000000000000004e-08, 42.85714285714286, 0.0, 0.0, 0.26
5.0000000000000004e-08, 42.85714285714286, 28.571428571428573, 14.285714285714286, 0.2075
5.0000000000000004e-08, 42.85714285714286, 57.142857142857146, 28.571428571428573, 0.1625
5.0000000000000004e-08, 42.85714285714286, 85.71428571428572, 42.85714285714286, 0.105
5.0000000000000004e-08, 42.85714285714286, 114.28571428571429, 57.142857142857146, 0.0525
5.0000000000000004e-08, 42.85714285714286, 142.85714285714286, 71.42857142857143, 0.0225
5.0000000000000004e-08, 42.85714285714286, 171.42857142857144, 85.71428571428572, 0.01
5.0000000000000004e-08, 42.85714285714286, 200.0, 100.0, 0.0075
5.0000000000000004e-08, 50.0, 0.0, 0.0, 0.26
5.0000000000000004e-08, 50.0, 28.571428571428573, 14.285714285714286, 0.2075
5.0000000000000004e-08, 50.0, 57.142857142857146, 28.571428571428573, 0.16
5.0000000000000004e-08, 50.0, 85.71428571428572, 42.85714285714286, 0.1075
5.0000000000000004e-08, 50.0, 114.28571428571429, 57.142857142857146, 0.06
5.0000000000000004e-08, 50.0, 142.85714285714286, 71.42857142857143, 0.025
5.0000000000000004e-08, 50.0, 171.42857142857144, 85.71428571428572, 0.01
5.0000000000000004e-08, 50.0, 200.0, 100.0, 0.0075
5.0000000000000004e-08, 57.142857142857146, 0.0, 0.0, 0.26
5.0000000000000004e-08, 57.142857142857146, 28.571428571428573, 14.285714285714286, 0.2025
