beta,gamma_freq,gamma_amp,gamma_mean,frequency
5.0000000000000004e-08, 57.142857142857146, 142.85714285714286, -71.42857142857143, 0.4875
5.0000000000000004e-08, 57.142857142857146, 171.42857142857144, -85.71428571428572, 0.525
5.0000000000000004e-08, 57.142857142857146, 200.0, -100.0, 0.535
5.0000000000000004e-08, 64.28571428571429, 0.0, -0.0, 0.26
5.0000000000000004e-08, 64.28571428571429, 28.571428571428573, -14.285714285714286, 0.3075
5.0000000000000004e-08, 64.28571428571429, 57.142857142857146, -28.571428571428573, 0.3475
5.0000000000000004e-08, 64.28571428571429, 85.71428571428572, -42.85714285714286, 0.3975
5.0000000000000004e-08, 64.28571428571429, 114.28571428571429, -57.142857142857146, 0.4375
5.0000000000000004e-08, 64.28571428571429, 142.85714285714286, -71.42857142857143, 0.49
5.0000000000000004e-08, 64.28571428571429, 171.42857142857144, -85.71428571428572, 0.5125
5.0000000000000004e-08, 64.28571428571429, 200.0, -100.0, 0.5425
5.0000000000000004e-08, 71.42857142857143, 0.0, -0.0, 0.26
5.0000000000000004e-08, 71.42857142857143, 28.571428571428573, -14.285714285714286, 0.3075
5.0000000000000004e-08, 71.42857142857143, 57.142857142857146, -28.571428571428573, 0.3425
5.0000000000000004e-08, 71.42857142857143, 85.71428571428572, -42.85714285714286, 0.395
5.0000000000000004e-08, 71.42857142857143, 114.28571428571429, -57.142857142857146, 0.4325
5.0000000000000004e-08, 71.42857142857143, 142.85714285714286, -71.42857142857143, 0.5025
5.0000000000000004e-08, 71.42857142857143, 171.42857142857144, -85.71428571428572, 0.525
5.0000000000000004e-08, 71.42857142857143, 200.0, -100.0, 0.525
5.0000000000000004e-08, 78.57142857142857, 0.0, -0.0, 0.26
5.0000000000000004e-08, 78.57142857142857, 28.571428571428573, -14.285714285714286, 0.31
5.0000000000000004e-08, 78.57142857142857, 57.142857142857146, -28.571428571428573, 0.35
5.0000000000000004e-08, 78.57142857142857, 85.71428571428572, -42.85714285714286, 0.385
5.0000000000000004e-08, 78.57142857142857, 114.28571428571429, -57.142857142857146, 0.4375
5.0000000000000004e-08, 78.57142857142857, 142.85714285714286, -71.42857142857143, 0.5025
5.0000000000000004e-08, 78.57142857142857, 171.42857142857144, -85.71428571428572, 0.505
5.0000000000000004e-08, 78.57142857142857, 200.0, -100.0, 0.54
5.0000000000000004e-08, 85.71428571428572, 0.0, -0.0, 0.26
5.0000000000000004e-08, 85.71428571428572, 28.571428571428573, -14.285714285714286, 0.3075
5.0000000000000004e-08, 85.71428571428572, 57.142857142857146, -28.571428571428573, 0.35
5.0000000000000004e-08, 85.71428571428572, 85.71428571428572, -42.85714285714286, 0.3925
5.0000000000000004e-08, 85.71428571428572, 114.28571428571429, -57.142857142857146, 0.435
5.0000000000000004e-08, 85.71428571428572, 142.85714285714286, -71.42857142857143, 0.4825
5.0000000000000004e-08, 85.71428571428572, 171.42857142857144, -85.71428571428572, 0.505
5.0000000000000004e-08, 85.71428571428572, 200.0, -100.0, 0.5275
5.0000000000000004e-08, 92.85714285714286, 0.0, -0.0, 0.26
5.0000000000000004e-08, 92.85714285714286, 28.571428571428573, -14.285714285714286, 0.31
5.0000000000000004e-08, 92.85714285714286, 57.142857142857146, -28.571428571428573, 0.3475
5.0000000000000004e-08, 92.85714285714286, 85.71428571428572, -42.85714285714286, 0.3925
5.0000000000000004e-08, 92.85714285714286, 114.28571428571429, -57.142857142857146, 0.435
5.0000000000000004e-08, 92.85714285714286, 142.85714285714286, -71.42857142857143, 0.48
