tau,beta,gamma,frequency,up,down
0.2, 2.5000000000000002e-08, -4.9999999999999996e-05, 0.02, 49.470858946779536, 0.6653390964974792 
0.275, 2.5000000000000002e-08, -4.9999999999999996e-05, 0.02666666666666667, 36.780714490273, 0.8731326881963918 
0.35000000000000003, 2.5000000000000002e-08, -4.9999999999999996e-05, 0.03333333333333333, 29.41617992793825, 0.6650893445843795 
0.4, 2.5000000000000002e-08, -4.9999999999999996e-05, 0.03333333333333333, 29.188006580130406, 0.9505557812572846 
0.8, 2.5000000000000002e-08, -4.9999999999999996e-05, 0.04, 22.73841317624493, 2.662155592111836 
1.2, 2.5000000000000002e-08, -4.9999999999999996e-05, 0.05333333333333334, 16.94391904041985, 2.027129242095709 
1.6, 2.5000000000000002e-08, -4.9999999999999996e-05, 0.06, 14.69518056508313, 2.185578991535075 
0.2, 3.3333333333333334e-08, -4.9999999999999996e-05, 0.37333333333333335, 1.7919164582229274, 0.8973268371599363 
0.275, 3.3333333333333334e-08, -4.9999999999999996e-05, 0.4, 1.5581688855736637, 0.9496499014368891 
0.35000000000000003, 3.3333333333333334e-08, -4.9999999999999996e-05, 0.38666666666666666, 1.5215575516825703, 1.0625936131512874 
0.4, 3.3333333333333334e-08, -4.9999999999999996e-05, 0.36666666666666664, 1.5007456229841996, 1.2273549015385457 
0.8, 3.3333333333333334e-08, -4.9999999999999996e-05, 0.2866666666666667, 1.7990501528171943, 1.7213615427722748 
1.2, 3.3333333333333334e-08, -4.9999999999999996e-05, 0.23333333333333334, 2.1025400483139127, 2.239128739961442 
1.6, 3.3333333333333334e-08, -4.9999999999999996e-05, 0.24, 2.0825147020626176, 2.136163791586072 
0.2, 5.0000000000000004e-08, -4.9999999999999996e-05, 0.6733333333333333, 0.3017398756838834, 1.1920858613776981 
0.275, 5.0000000000000004e-08, -4.9999999999999996e-05, 0.5866666666666667, 0.3305353046277062, 1.3748527037855043 
0.35000000000000003, 5.0000000000000004e-08, -4.9999999999999996e-05, 0.5266666666666666, 0.36341116347634767, 1.5386767093405167 
0.4, 5.0000000000000004e-08, -4.9999999999999996e-05, 0.5, 0.3987106141233042, 1.6059588016444208 
0.8, 5.0000000000000004e-08, -4.9999999999999996e-05, 0.37333333333333335, 0.6091092372053285, 2.089633388409937 
1.2, 5.0000000000000004e-08, -4.9999999999999996e-05, 0.32666666666666666, 0.7793482963385622, 2.3181556320721417 
1.6, 5.0000000000000004e-08, -4.9999999999999996e-05, 0.26666666666666666, 1.0417651799212782, 2.7647152546419282 
0.2, 7.500000000000001e-08, -4.9999999999999996e-05, 0.5533333333333333, 0.1988506677744284, 1.6111800489562487 
0.275, 7.500000000000001e-08, -4.9999999999999996e-05, 0.5266666666666666, 0.23016377571274985, 1.6726077737140084 
0.35000000000000003, 7.500000000000001e-08, -4.9999999999999996e-05, 0.4866666666666667, 0.25718288782913995, 1.8040135687439367 
0.4, 7.500000000000001e-08, -4.9999999999999996e-05, 0.4666666666666667, 0.27427041519709483, 1.876469373755403 
0.8, 7.500000000000001e-08, -4.9999999999999996e-05, 0.37333333333333335, 0.3902730430629385, 2.307526039285825 
1.2, 7.500000000000001e-08, -4.9999999999999996e-05, 0.31333333333333335, 0.5259456457649232, 2.6994055470117075 
1.6, 7.500000000000001e-08, -4.9999999999999996e-05, 0.24666666666666667, 0.6296448230793448, 3.494084764689298 
0.2, 1.0000000000000001e-07, -4.9999999999999996e-05, 0.5066666666666667, 0.134905467586408, 1.844367927858328 
0.275, 1.0000000000000001e-07, -4.9999999999999996e-05, 0.49333333333333335, 0.17710785664618195, 1.8562520134109708 
0.35000000000000003, 1.0000000000000001e-07, -4.9999999999999996e-05, 0.4533333333333333, 0.20695618822557832, 2.0083632348086473 
0.4, 1.0000000000000001e-07, -4.9999999999999996e-05, 0.43333333333333335, 0.22248668886342132, 2.0966048724933235 
0.8, 1.0000000000000001e-07, -4.9999999999999996e-05, 0.3466666666666667, 0.3149563741042872, 2.594755875830009 
1.2, 1.0000000000000001e-07, -4.9999999999999996e-05, 0.29333333333333333, 0.3897265080323242, 3.061215007046489 
1.6, 1.0000000000000001e-07, -4.9999999999999996e-05, 0.25333333333333335, 0.46856087865001467, 3.5420221318895306 
