tau,beta,gamma,frequency,up,down
1.4000000000000001, 3e-07, -50.0, 0.1, 0.17562554529167693, 10.429639891041564 
1.4000000000000001, 3e-07, -60.526315789473685, 0.15333333333333332, 0.17430511778589788, 6.574787226506519 
1.4000000000000001, 3e-07, -71.05263157894737, 0.19333333333333333, 0.19001814519416457, 5.112421661149925 
1.4000000000000001, 3e-07, -81.57894736842105, 0.22, 0.20222336721281103, 4.437092488128459 
1.4000000000000001, 3e-07, -92.10526315789474, 0.24, 0.20290955428718582, 4.038845223268696 
1.4000000000000001, 3e-07, -102.63157894736842, 0.26, 0.20543695826248495, 3.701454800512193 
1.4000000000000001, 3e-07, -113.15789473684211, 0.26, 0.2103295342011551, 3.696512341600326 
1.4000000000000001, 3e-07, -123.68421052631581, 0.29333333333333333, 0.21331083850647756, 3.2392939292705685 
1.4000000000000001, 3e-07, -134.21052631578948, 0.32, 0.21782529354174854, 2.9408872293238364 
1.4000000000000001, 3e-07, -144.73684210526318, 0.32666666666666666, 0.2220039658565009, 2.8708566157616775 
1.4000000000000001, 3e-07, -155.26315789473685, 0.3466666666666667, 0.22664025529512477, 2.6842552084537203 
1.4000000000000001, 3e-07, -165.78947368421052, 0.35333333333333333, 0.22298604769576683, 2.6320393537291418 
1.4000000000000001, 3e-07, -176.31578947368422, 0.38666666666666666, 0.22942727465430318, 2.375079351002565 
1.4000000000000001, 3e-07, -186.84210526315792, 0.4, 0.23215272828989875, 2.284053207711978 
1.4000000000000001, 3e-07, -197.3684210526316, 0.42, 0.23332378726021044, 2.161143586617938 
1.4000000000000001, 3e-07, -207.89473684210526, 0.43333333333333335, 0.23631910251201757, 2.083305583120767 
1.4000000000000001, 3e-07, -218.42105263157896, 0.43333333333333335, 0.23475142896517665, 2.0678209645085883 
1.4000000000000001, 3e-07, -228.94736842105266, 0.4533333333333333, 0.2334886561701651, 1.9829556372013755 
1.4000000000000001, 3e-07, -239.47368421052633, 0.46, 0.2363738975805772, 1.9473450490160165 
1.4000000000000001, 3e-07, -250.00000000000003, 0.48, 0.23741694361378807, 1.8539752859577328 
