Day;BMI (uM);EF (V/m);Angle;Up_duration (s);Up_duration_norm;Down_duration (s);Down_duration_norm;Frequency (Hz);Frequency_norm;FR_up (a.u.);FR_up_norm
20210222;0;0;0;0.236497192823930;1;2.10993904035273;1;0.556062772045953;1;1.71959965022514;1
20210222;0;-3;0;0.130191250000211;0.550498077569729;5.03351625000814;2.38562164770725;0.391966923370463;0.704896898471151;2.69572960391133;1.56764954189098
20210222;0;3;0;0.158123735604241;0.668607241025320;1.18816362598827;0.563126992422321;0.845745117490997;1.52095259745442;2.66559848015024;1.55012736819366
20210222;0;0;45;0.340351899004115;1;2.26147820056782;1;0.601585858576527;1;2.81443488235307;1
20210222;0;-3;45;0.359208397059404;1.05540294651055;2.75411263235739;1.21783735596738;0.430045174543934;0.714852532540421;2.66274599274795;0.946103251293454
20210222;0;3;45;0.198832820863782;0.584197771323080;1.75036151693666;0.773990001980639;0.854327931847795;1.42012635381641;2.88285526273288;1.02431052173522
20210222;0;0;90;0.247312464114711;1;4.44260087806664;1;0.291374638188096;1;2.67036072688398;1
20210222;0;-3;90;0.194858380567117;0.787903599054902;6.72933862349266;1.51472950377239;0.358247047592046;1.22950662356818;2.63586960071866;0.987083720256189
20210222;0;3;90;0.245647821224585;0.993269069975568;5.34151331820751;1.20233922983693;0.377688325283857;1.29622923818113;2.65368780973600;0.993756305288598
20210222;0.800000000000000;0;90;0.345395781818166;1;10.9438461314681;1;0.118238148554021;1;3.87543998246774;1
20210222;0.800000000000000;-3;90;0.250975692306858;0.726632186952950;10.5192647692016;0.961203642927174;0.121714817937849;1.02940395656009;3.94174697873642;1.01710954022476
20210222;0.800000000000000;3;90;0.421060000000681;1.21906526415644;18.9637800000307;1.73282589797219;0.0570975567278842;0.482903000648706;4.06977730205249;1.05014587258838
20210222;0.800000000000000;0;45;0.345395781818166;1;10.9438461314681;1;0.118238148554021;1;3.87543998246774;1
20210222;0.800000000000000;-3;45;0.226781907690304;0.656585631985783;10.2707782153103;0.938498046475411;0.102813795762666;0.869548424260822;3.91443293129577;1.01006155404404
20210222;0.800000000000000;3;45;0.341562666667219;0.988902252567274;9.89612711112711;0.904264094381923;0.130437141436134;1.10317307088532;4.04485878423096;1.04371601741471
20210222;0.800000000000000;0;0;0.345395781818166;1;10.9438461314681;1;0.118238148554021;1;3.87543998246774;1
20210222;0.800000000000000;-3;0;0.190007999997579;0.550116735639837;33.1279199996055;3.02708203328526;0.0349247684523310;0.295376482797128;3.80362519175695;0.981469254836696
20210222;0.800000000000000;3;0;0.172590072874663;0.499687842063813;7.95910032389295;0.727267199143748;0.176087447771675;1.48926086821483;3.74463686630754;0.966248189430892
20210412;0;0;0;0.149354375896609;1;4.29675051049154;1;0.391972401176510;1;2.36074530322729;1
20210412;0;-3;0;NaN;NaN;NaN;NaN;0;0;NaN;NaN
20210412;0;3;0;0.117803706283165;0.788752961377676;0.472646661106700;0.110000955362109;1.82579996801909;4.65798092554202;1.47508821296514;0.624840049855696
20210412;0;0;45;0.128031067537836;1;3.30879119825054;1;0.599554504965544;1;1.06773978527959;1
20210412;0;-3;45;0.152880000007144;1.19408517750557;4.41672000020640;1.33484397641702;0.238710141858519;0.398145856434249;2.02554683305148;1.89704163971101
20210412;0;3;45;0.113222535211451;0.884336414503388;2.21099830986273;0.668219351838144;0.784986862442095;1.30928356961842;1.78431090188356;1.67111025221968
20210412;0;0;90;0.167290344827584;1;3.41254130877665;1;0.384606777644962;1;1.86693555919237;1
20210412;0;-3;90;0.139104000000225;0.831512423168181;2.81295000000455;0.824297714073080;0.371975599590778;0.967158202121326;1.88372906292266;1.00899522409737
20210412;0;3;90;0.119728000000194;0.715689839264725;4.57133600000739;1.33956942535771;0.326141882122917;0.847987869896523;1.86692102254356;0.999992213631189
20210412;0.800000000000000;0;0;0.366818894229539;1;11.6479733858324;1;0.464236222552753;1;2.04598341419541;1
20210412;0.800000000000000;-3;0;0.0759599999987670;0.207077664737833;17.1301599997703;1.47065583276538;0.0621438655393985;0.133862595205692;2.90694069657840;1.42080364699416
20210412;0.800000000000000;3;0;0.182088671328732;0.496399379075574;7.29570153846455;0.626349434085969;0.139099288739339;0.299630407929947;2.31340659279715;1.13070642545111
20210412;0.800000000000000;0;45;0.0576547991343616;1;8.34477888018837;1;1.23280025580991;1;2.62588492961855;1
20210412;0.800000000000000;-3;45;0.0496800000000803;0.861680219964058;31.2084000000505;3.73987141518434;0.0405442938447837;0.0328879667681018;2.55727812722614;0.973872883149386
20210412;0.800000000000000;3;45;0.109385000000177;1.89724015420227;3.90345500000631;0.467772131059535;0.457108293006466;0.370788609794829;2.49800121826943;0.951298813627870
20210412;0.800000000000000;0;90;0.0609329454545452;1;9.09100901818181;1;0.106238859180035;1;NaN;NaN
20210412;0.800000000000000;-3;90;0.0582650181818186;0.956215356851298;8.01708741818181;0.881869922485812;0.111111111111111;1.04586129753916;NaN;NaN
20210412;0.800000000000000;3;90;0.0545480055944056;0.895213667868680;9.02848400559440;0.993122324214797;0.106909090909091;1.00630872483222;NaN;NaN
20210415;0;0;0;0.140233846153874;1;2.63115692307747;1;0.719880192010618;1;1.83860552287671;1
20210415;0;-3;0;0.221650434787967;1.58057730617156;3.41679130443042;1.29858894939419;0.413660963528280;0.574624733558690;1.55787965959018;0.847315881632237
20210415;0;3;0;0.129833239436830;0.925833833968786;1.26702760563585;0.481547715578249;1.11787815709510;1.55286694855831;1.39088438440101;0.756488744918383
20210415;0;0;45;0.0988684491976054;1;5.22369946523960;1;0.413183136258182;1;0.952786618876542;1
20210415;0;-3;45;0.118760000000192;1.20119209883458;10.9308666666843;2.09255274722872;0.524350910360994;1.26905206032743;0.794948063119592;0.834340079268680
