beta,gamma,seed,frequency
1.4285714285714288e-08, 5.526315789473687e-05, 100, 0.07 
1.4285714285714288e-08, 7.894736842105266e-05, 100, 0.022 
1.4285714285714288e-08, 0.00010263157894736844, 100, 0.008 
1.4285714285714288e-08, 0.0001263157894736842, 100, 0.0 
1.4285714285714288e-08, 0.00015, 100, 0.0 
1e-08, -0.0003, 100, 0.002 
1e-08, -0.0002763157894736842, 100, 0.002 
1e-08, -0.0002526315789473684, 100, 0.002 
1e-08, -0.00022894736842105263, 100, 0.002 
1e-08, -0.0002052631578947368, 100, 0.002 
1e-08, -0.00018157894736842105, 100, 0.002 
1e-08, -0.00015789473684210527, 100, 0.002 
1e-08, -0.00013421052631578946, 100, 0.002 
1e-08, -0.00011052631578947366, 100, 0.002 
1e-08, -8.684210526315788e-05, 100, 0.002 
1e-08, -6.315789473684208e-05, 100, 0.002 
1e-08, -3.9473684210526296e-05, 100, 0.002 
1e-08, -1.578947368421052e-05, 100, 0.002 
1e-08, 7.89473684210526e-06, 100, 0.002 
1e-08, 3.15789473684211e-05, 100, 0.01 
1e-08, 5.526315789473687e-05, 100, 0.082 
1e-08, 7.894736842105266e-05, 100, 0.022 
1e-08, 0.00010263157894736844, 100, 0.01 
1e-08, 0.0001263157894736842, 100, 0.0 
1e-08, 0.00015, 100, 0.0 
0.0, -0.0003, 100, 0.002 
0.0, -0.0002763157894736842, 100, 0.002 
0.0, -0.0002526315789473684, 100, 0.002 
0.0, -0.00022894736842105263, 100, 0.002 
0.0, -0.0002052631578947368, 100, 0.002 
0.0, -0.00018157894736842105, 100, 0.002 
0.0, -0.00015789473684210527, 100, 0.002 
0.0, -0.00013421052631578946, 100, 0.002 
0.0, -0.00011052631578947366, 100, 0.002 
0.0, -8.684210526315788e-05, 100, 0.002 
0.0, -6.315789473684208e-05, 100, 0.002 
0.0, -3.9473684210526296e-05, 100, 0.002 
0.0, -1.578947368421052e-05, 100, 0.002 
0.0, 7.89473684210526e-06, 100, 0.002 
0.0, 3.15789473684211e-05, 100, 0.002 
0.0, 5.526315789473687e-05, 100, 0.002 
0.0, 7.894736842105266e-05, 100, 0.002 
0.0, 0.00010263157894736844, 100, 0.016 
0.0, 0.0001263157894736842, 100, 0.0 
0.0, 0.00015, 100, 0.0 
7.500000000000001e-08, -0.0003, 100, 0.328 
7.500000000000001e-08, -0.0002763157894736842, 100, 0.532 
7.500000000000001e-08, -0.0002526315789473684, 100, 0.666 
7.500000000000001e-08, -0.00022894736842105263, 100, 0.74 
7.500000000000001e-08, -0.0002052631578947368, 100, 0.702 
7.500000000000001e-08, -0.00018157894736842105, 100, 0.642 
7.500000000000001e-08, -0.00015789473684210527, 100, 0.6 
7.500000000000001e-08, -0.00013421052631578946, 100, 0.56 
7.500000000000001e-08, -0.00011052631578947366, 100, 0.514 
7.500000000000001e-08, -8.684210526315788e-05, 100, 0.444 
7.500000000000001e-08, -6.315789473684208e-05, 100, 0.392 
7.500000000000001e-08, -3.9473684210526296e-05, 100, 0.332 
7.500000000000001e-08, -1.578947368421052e-05, 100, 0.262 
7.500000000000001e-08, 7.89473684210526e-06, 100, 0.168 
7.500000000000001e-08, 3.15789473684211e-05, 100, 0.07 
7.500000000000001e-08, 5.526315789473687e-05, 100, 0.014 
7.500000000000001e-08, 7.894736842105266e-05, 100, 0.0 
7.500000000000001e-08, 0.00010263157894736844, 100, 0.0 
7.500000000000001e-08, 0.0001263157894736842, 100, 0.0 
7.500000000000001e-08, 0.00015, 100, 0.0 
1.0000000000000001e-07, -0.0003, 100, 0.83 
1.0000000000000001e-07, -0.0002763157894736842, 100, 0.796 
1.0000000000000001e-07, -0.0002526315789473684, 100, 0.756 
1.0000000000000001e-07, -0.00022894736842105263, 100, 0.712 
1.0000000000000001e-07, -0.0002052631578947368, 100, 0.682 
1.0000000000000001e-07, -0.00018157894736842105, 100, 0.646 
1.0000000000000001e-07, -0.00015789473684210527, 100, 0.604 
1.0000000000000001e-07, -0.00013421052631578946, 100, 0.562 
1.0000000000000001e-07, -0.00011052631578947366, 100, 0.508 
1.0000000000000001e-07, -8.684210526315788e-05, 100, 0.434 
1.0000000000000001e-07, -6.315789473684208e-05, 100, 0.372 
1.0000000000000001e-07, -3.9473684210526296e-05, 100, 0.32 
1.0000000000000001e-07, -1.578947368421052e-05, 100, 0.228 
1.0000000000000001e-07, 7.89473684210526e-06, 100, 0.144 
1.0000000000000001e-07, 3.15789473684211e-05, 100, 0.032 
1.0000000000000001e-07, 5.526315789473687e-05, 100, 0.006 
1.0000000000000001e-07, 7.894736842105266e-05, 100, 0.0 
1.0000000000000001e-07, 0.00010263157894736844, 100, 0.0 
1.0000000000000001e-07, 0.0001263157894736842, 100, 0.0 
1.0000000000000001e-07, 0.00015, 100, 0.0 
