tau,beta,gamma,frequency,up,down
0.9, 5e-08, -260.0, 0.005555555555555556, 179.80815880188064, 0.0 
0.9, 5e-08, -220.0, 0.022222222222222223, 44.5671083380979, 0.5092451248688585 
0.9, 5e-08, -180.0, 0.13333333333333333, 6.678097019689257, 0.8482109133333351 
0.9, 5e-08, -140.0, 0.3277777777777778, 1.8887077561314356, 1.1635540771709856 
0.9, 5e-08, -100.0, 0.4388888888888889, 0.9346313961909588, 1.3458730956468943 
0.9, 5e-08, -60.0, 0.36666666666666664, 0.7092008181106649, 2.0370829787479336 
0.9, 5e-08, -20.0, 0.2833333333333333, 0.584927574657971, 2.9855486291902817 
1.0, 5e-08, -380.0, 0.005555555555555556, 179.8341372974593, 0.0 
1.0, 5e-08, -340.0, 0.005555555555555556, 179.82614391420432, 0.0 
1.0, 5e-08, -300.0, 0.005555555555555556, 179.81815053094937, 0.0 
1.0, 5e-08, -260.0, 0.005555555555555556, 179.80815880188064, 0.0 
1.0, 5e-08, -220.0, 0.027777777777777776, 35.39210320345935, 0.7089131774253534 
1.0, 5e-08, -180.0, 0.13333333333333333, 6.652618110564032, 0.8747976011161774 
1.0, 5e-08, -140.0, 0.32222222222222224, 1.867867613800913, 1.2382732305509676 
1.0, 5e-08, -100.0, 0.37222222222222223, 1.0950487668458189, 1.5976926170710202 
1.0, 5e-08, -60.0, 0.35555555555555557, 0.7384356144080733, 2.095043547285858 
1.0, 5e-08, -20.0, 0.2777777777777778, 0.6128127272424493, 3.0308788609338233 
1.1, 5e-08, -380.0, 0.005555555555555556, 179.8341372974593, 0.0 
1.1, 5e-08, -340.0, 0.005555555555555556, 179.82614391420432, 0.0 
1.1, 5e-08, -300.0, 0.005555555555555556, 179.81815053094937, 0.0 
1.1, 5e-08, -260.0, 0.005555555555555556, 179.80815880188064, 0.0 
1.1, 5e-08, -220.0, 0.027777777777777776, 35.194466802480164, 0.9562084718760581 
1.1, 5e-08, -180.0, 0.13333333333333333, 6.549703301156264, 0.982186967454718 
1.1, 5e-08, -140.0, 0.32222222222222224, 1.8755681360314573, 1.2304726701376725 
1.1, 5e-08, -100.0, 0.36666666666666664, 1.136892239201994, 1.59707797434346 
1.1, 5e-08, -60.0, 0.3333333333333333, 0.8187056270087538, 2.197079611406415 
1.1, 5e-08, -20.0, 0.25555555555555554, 0.6713355876669239, 3.2959605659759417 
1.2, 5e-08, -380.0, 0.005555555555555556, 179.8341372974593, 0.0 
1.2, 5e-08, -340.0, 0.005555555555555556, 179.82614391420432, 0.0 
1.2, 5e-08, -300.0, 0.005555555555555556, 179.81815053094937, 0.0 
1.2, 5e-08, -260.0, 0.005555555555555556, 179.80815880188064, 0.0 
1.2, 5e-08, -220.0, 0.027777777777777776, 34.96145968059773, 1.2474673742291102 
1.2, 5e-08, -180.0, 0.1388888888888889, 6.156983385974942, 1.0774414512431374 
1.2, 5e-08, -140.0, 0.3055555555555556, 1.9424647980787617, 1.3349505131863066 
1.2, 5e-08, -100.0, 0.35555555555555557, 1.156246010247073, 1.6740269760824966 
1.2, 5e-08, -60.0, 0.31666666666666665, 0.8890009468770148, 2.2874457889223443 
1.2, 5e-08, -20.0, 0.24444444444444444, 0.7240824388296758, 3.4276975118916413 
1.3, 5e-08, -380.0, 0.005555555555555556, 179.8341372974593, 0.0 
1.3, 5e-08, -340.0, 0.005555555555555556, 179.82614391420432, 0.0 
1.3, 5e-08, -300.0, 0.005555555555555556, 179.81815053094937, 0.0 
1.3, 5e-08, -260.0, 0.005555555555555556, 179.80815880188064, 0.0 
1.3, 5e-08, -220.0, 0.027777777777777776, 34.91409888481201, 1.3066683689612486 
1.3, 5e-08, -180.0, 0.12777777777777777, 6.710054261846532, 1.1569059753062994 
1.3, 5e-08, -140.0, 0.28888888888888886, 2.071765807534532, 1.3960208755301575 
1.3, 5e-08, -100.0, 0.3333333333333333, 1.2390410160478267, 1.7822196334465503 
1.3, 5e-08, -60.0, 0.3, 0.9436262945302685, 2.4120222495068804 
1.3, 5e-08, -20.0, 0.24444444444444444, 0.7417269240260208, 3.3597305176451475 
1.4000000000000001, 5e-08, -380.0, 0.005555555555555556, 179.8341372974593, 0.0 
1.4000000000000001, 5e-08, -340.0, 0.005555555555555556, 179.82614391420432, 0.0 
1.4000000000000001, 5e-08, -300.0, 0.005555555555555556, 179.81815053094937, 0.0 
1.4000000000000001, 5e-08, -260.0, 0.005555555555555556, 179.80815880188064, 0.0 
1.4000000000000001, 5e-08, -220.0, 0.027777777777777776, 34.9041071557433, 1.3191580302971428 
1.4000000000000001, 5e-08, -180.0, 0.13333333333333333, 6.423599353868187, 1.1137736950596693 
1.4000000000000001, 5e-08, -140.0, 0.28888888888888886, 2.116209787026722, 1.350822995213439 
1.4000000000000001, 5e-08, -100.0, 0.31666666666666665, 1.3638184298319136, 1.8175847294660055 
1.4000000000000001, 5e-08, -60.0, 0.3, 0.9475489733498379, 2.4085345704923293 
1.4000000000000001, 5e-08, -20.0, 0.25, 0.7631016547413529, 3.2450865167671803 
1.5, 5e-08, -380.0, 0.005555555555555556, 179.8341372974593, 0.0 
1.5, 5e-08, -340.0, 0.005555555555555556, 179.82614391420432, 0.0 
1.5, 5e-08, -300.0, 0.005555555555555556, 179.81815053094937, 0.0 
1.5, 5e-08, -260.0, 0.005555555555555556, 179.80815880188064, 0.0 
1.5, 5e-08, -220.0, 0.03333333333333333, 28.96935314656201, 1.1962098041066005 
1.5, 5e-08, -180.0, 0.12222222222222222, 6.9831740291748385, 1.2453976589220193 
1.5, 5e-08, -140.0, 0.2777777777777778, 2.119865222676784, 1.489032717928164 
1.5, 5e-08, -100.0, 0.3111111111111111, 1.2963019500524564, 1.9331634066547942 
1.5, 5e-08, -60.0, 0.2833333333333333, 1.0374745349682761, 2.5187750140161755 
1.5, 5e-08, -20.0, 0.2222222222222222, 0.8372069786676584, 3.683566210363472 
1.6, 5e-08, -380.0, 0.005555555555555556, 179.8341372974593, 0.0 
1.6, 5e-08, -340.0, 0.005555555555555556, 179.82614391420432, 0.0 
1.6, 5e-08, -300.0, 0.005555555555555556, 179.81815053094937, 0.0 
1.6, 5e-08, -260.0, 0.005555555555555556, 179.80815880188064, 0.0 
1.6, 5e-08, -220.0, 0.03333333333333333, 28.956530427590494, 1.211597066872422 
1.6, 5e-08, -180.0, 0.1111111111111111, 7.628235516156069, 1.4325510082151294 
1.6, 5e-08, -140.0, 0.2611111111111111, 2.2947600231156176, 1.545720486930263 
1.6, 5e-08, -100.0, 0.3055555555555556, 1.366886703380383, 1.9214280031159392 
1.6, 5e-08, -60.0, 0.25555555555555554, 1.1114060896933864, 2.811006444665249 
