external,coupling,seed,p1freq,p1mean,p2freq,p2mean,corr,pli
-0.0003, 0.0, 100, 0.05, 0.999840000399999, 0.05, 0.9998075004812488, 0.9116697943480382, 0.9989535005779796
-0.0003, 1.4285714285714284e-09, 100, 0.05, 0.999840000399999, 0.05, 0.9998100004749988, 0.9176491682666611, 0.9991081113737056
-0.0003, 2.8571428571428568e-09, 100, 0.05, 0.999840000399999, 0.05, 0.9998100004749988, 0.9176491682666611, 0.9992298428428943
-0.0003, 4.285714285714285e-09, 100, 0.05, 0.0023449941375146563, 0.05, 0.002312494218764453, 0.9930300102045692, nan
-0.0003, 5.7142857142857136e-09, 100, 0.05, 0.002307494231264422, 0.05, 0.0022749943125142187, 0.9929166015946614, nan
-0.0003, 7.142857142857142e-09, 100, 0.05, 0.0022899942750143126, 0.05, 0.0022624943437641407, 0.9939637996793725, nan
-0.0003, 8.57142857142857e-09, 100, 0.05, 0.00227999430001425, 0.05, 0.002252494368764078, 0.9939373053231809, nan
-0.0003, 9.999999999999999e-09, 100, 0.05, 0.0022724943187642033, 0.05, 0.002247494381264047, 0.9944717790289479, nan
-0.0002678571428571428, 0.0, 100, 0.05, 0.9996075009812475, 0.05, 0.9994725013187467, 0.36233259587923095, 0.9985943067671479
-0.0002678571428571428, 1.4285714285714284e-09, 100, 0.05, 0.9997375006562483, 0.05, 0.9997400006499984, 0.6314899069092401, 0.9988309823972761
-0.0002678571428571428, 2.8571428571428568e-09, 100, 0.05, 0.9997950005124987, 0.05, 0.9998025004937487, 0.8199819539317136, 0.9990091376723471
-0.0002678571428571428, 4.285714285714285e-09, 100, 0.05, 0.002392494018764953, 0.05, 0.0023574941062647343, 0.9926411141465861, nan
-0.0002678571428571428, 5.7142857142857136e-09, 100, 0.05, 0.002327494181264547, 0.05, 0.0022974942562643593, 0.9935194775589884, nan
-0.0002678571428571428, 7.142857142857142e-09, 100, 0.05, 0.002304994237514406, 0.05, 0.0022749943125142187, 0.9934561583850282, nan
-0.0002678571428571428, 8.57142857142857e-09, 100, 0.05, 0.002294994262514344, 0.05, 0.0022624943437641407, 0.9928779721708691, nan
-0.0002678571428571428, 9.999999999999999e-09, 100, 0.05, 0.0022849942875142813, 0.05, 0.0022549943625140936, 0.9933988243348714, nan
-0.0002357142857142857, 0.0, 100, 0.2, 0.9910200224499439, 0.1, 0.9959575101062247, 0.024006411887280775, 0.9911975975402927
-0.0002357142857142857, 1.4285714285714284e-09, 100, 0.2, 0.997757505606236, 0.1, 0.9973475066312334, 0.07051241038223834, 0.997947201940712
-0.0002357142857142857, 2.8571428571428568e-09, 100, 0.1, 0.9986575033562416, 0.05, 0.9987475031312422, 0.13576332780639402, 0.9986254342319829
-0.0002357142857142857, 4.285714285714285e-09, 100, 0.05, 0.999197502006245, 0.05, 0.9992100019749951, 0.22230759323165858, 0.9988510850733918
-0.0002357142857142857, 5.7142857142857136e-09, 100, 0.05, 0.0023474941312646718, 0.05, 0.0023149942125144686, 0.9930374414981479, nan
-0.0002357142857142857, 7.142857142857142e-09, 100, 0.05, 0.0023199942000145, 0.05, 0.0022874942812642967, 0.9929548132722696, nan
-0.0002357142857142857, 8.57142857142857e-09, 100, 0.05, 0.0023024942437643906, 0.05, 0.0022749943125142187, 0.9939965930165893, nan
-0.0002357142857142857, 9.999999999999999e-09, 100, 0.05, 0.002292494268764328, 0.05, 0.002264994337514156, 0.9939703870429086, nan
-0.00020357142857142856, 0.0, 100, 1.15, 0.9543501141247147, 1.25, 0.957755105612236, -0.029855755128564067, 0.9443150256123236
-0.00020357142857142856, 1.4285714285714284e-09, 100, 0.65, 0.9704625738435654, 0.6, 0.97760255599361, -0.004353376436145554, 0.9700090785906113
-0.00020357142857142856, 2.8571428571428568e-09, 100, 0.55, 0.9767075582311044, 0.3, 0.9828475428811428, 0.01866217300099274, 0.9749279500483092
-0.00020357142857142856, 4.285714285714285e-09, 100, 0.5, 0.9836375409061477, 0.2, 0.9911500221249447, 0.06040244775135167, 0.9891806704255343
-0.00020357142857142856, 5.7142857142857136e-09, 100, 0.05, 0.0023824940437648908, 0.05, 0.0023499941250146876, 0.9931398363993391, nan
-0.00020357142857142856, 7.142857142857142e-09, 100, 0.05, 0.002337494156264609, 0.05, 0.002304994237514406, 0.993007620612868, nan
-0.00020357142857142856, 8.57142857142857e-09, 100, 0.05, 0.0023174942062644845, 0.05, 0.0022874942812642967, 0.9934914879922052, nan
-0.00020357142857142856, 9.999999999999999e-09, 100, 0.05, 0.0023024942437643906, 0.05, 0.002277494306264234, 0.994543841043495, nan
-0.0001714285714285714, 0.0, 100, 4.55, 0.8285404286489284, 4.9, 0.8038529903675241, -0.018717676151995797, 0.7513111027886279
-0.0001714285714285714, 1.4285714285714284e-09, 100, 3.6, 0.8561903595241012, 4.0, 0.834245414386464, 0.04914620529183064, 0.8015700312875106
-0.0001714285714285714, 2.8571428571428568e-09, 100, 3.1, 0.8830677923305191, 3.55, 0.8498153754615614, 0.1525357489721193, 0.8455623400976854
-0.0001714285714285714, 4.285714285714285e-09, 100, 2.4, 0.9023327441681396, 2.95, 0.8887402781493047, 0.19556505367598356, 0.8983670342037227
-0.0001714285714285714, 5.7142857142857136e-09, 100, 0.05, 0.0025074937312656717, 0.05, 0.0024624938437653905, 0.9909639433804317, nan
-0.0001714285714285714, 7.142857142857142e-09, 100, 0.05, 0.002367494081264797, 0.05, 0.002327494181264547, 0.9914964068675965, nan
-0.0001714285714285714, 8.57142857142857e-09, 100, 0.05, 0.002337494156264609, 0.05, 0.0023024942437643906, 0.9924677236841628, nan
-0.0001714285714285714, 9.999999999999999e-09, 100, 0.05, 0.0023224941937645158, 0.05, 0.0022874942812642967, 0.9924190046505842, nan
-0.00013928571428571427, 0.0, 100, 9.75, 0.6070309824225439, 9.75, 0.5843760390599023, 0.016326120307267343, 0.49479521686767247
-0.00013928571428571427, 1.4285714285714284e-09, 100, 9.45, 0.6214459463851341, 9.15, 0.6094959762600594, 0.1597670484852175, 0.5995659581463467
