coupling,seed,p1freq,p1mean,p2freq,p2mean,corr,pli
0.0, 1000, 0.2175, 0.08784728038179905, 0.225, 0.09150727123182192, 0.00013863300500459088, 0.18728068588126445
3.7356321839080457e-10, 1000, 0.215, 0.08765728085679786, 0.2275, 0.09277476806307984, 0.010148167157350242, 0.19786271630111635
7.471264367816091e-10, 1000, 0.215, 0.08808727978180055, 0.2275, 0.0928972677568306, 0.01950077411320584, 0.20328817136991026
1.1206896551724138e-09, 1000, 0.215, 0.08848477878805303, 0.2275, 0.0927522681193297, 0.03784494440721699, 0.2177133816921146
1.4942528735632183e-09, 1000, 0.2225, 0.09176977057557356, 0.23, 0.09409976475058812, 0.04406693878424604, 0.22758397072600461
1.8678160919540227e-09, 1000, 0.2225, 0.09117227206931983, 0.235, 0.09564476088809779, 0.052916116293379785, 0.23359169462084725
2.2413793103448276e-09, 1000, 0.2225, 0.09185477036307409, 0.235, 0.09587476031309922, 0.07024692138776724, 0.24478057926624538
2.614942528735632e-09, 1000, 0.225, 0.09303476741308146, 0.235, 0.09658725853185367, 0.0794400759315805, 0.2532835227240755
2.9885057471264365e-09, 1000, 0.2225, 0.09249976875057812, 0.24, 0.09919975200061999, 0.11767244117010284, 0.2681524148354199
3.362068965517241e-09, 1000, 0.225, 0.09437726405683985, 0.245, 0.1024497438756403, 0.1568593830915244, 0.29308352367775803
3.7356321839080455e-09, 1000, 0.2275, 0.09513476216309459, 0.245, 0.10306724233189417, 0.17590607950965442, 0.3022681480161605
4.10919540229885e-09, 1000, 0.23, 0.09671225821935445, 0.245, 0.10310974222564444, 0.19311910960791728, 0.31700932953691213
4.482758620689655e-09, 1000, 0.235, 0.10058974852562869, 0.2425, 0.10326724183189542, 0.22295483943868435, 0.3487074476411616
4.85632183908046e-09, 1000, 0.235, 0.10223724440688899, 0.2475, 0.10512723718190704, 0.2508740991840364, 0.36454352891155717
5.229885057471264e-09, 1000, 0.2325, 0.10181224546938633, 0.2475, 0.10612473468816327, 0.27214897970597784, 0.38641457954338626
5.603448275862069e-09, 1000, 0.2325, 0.10290974272564318, 0.245, 0.10542973642565893, 0.2816390699676174, 0.39158908018961414
5.977011494252873e-09, 1000, 0.2375, 0.10520223699440752, 0.25, 0.10797973005067488, 0.31156616932437003, 0.40925295719815036
6.3505747126436775e-09, 1000, 0.235, 0.10388474028814929, 0.25, 0.10776223059442351, 0.33017596634967245, 0.4169346773033619
6.724137931034482e-09, 1000, 0.235, 0.10435723910690223, 0.25, 0.10782223044442389, 0.3419343829127793, 0.42965035941454727
7.0977011494252864e-09, 1000, 0.235, 0.10425223936940158, 0.25, 0.10751223121942195, 0.35172262987257574, 0.44558747176814467
7.471264367816091e-09, 1000, 0.235, 0.10390224024439938, 0.25, 0.10716973207566981, 0.35523779094516594, 0.4492439466082091
7.844827586206895e-09, 1000, 0.2375, 0.10471723820690448, 0.2475, 0.10688723278191804, 0.3543695733793571, 0.45631523306495675
8.2183908045977e-09, 1000, 0.245, 0.10739473151317122, 0.2475, 0.10791223021942445, 0.37311795797374253, 0.4633001384046318
8.591954022988504e-09, 1000, 0.25, 0.10903722740693149, 0.2525, 0.10809972975067562, 0.3784647072733605, 0.4683651132884206
8.96551724137931e-09, 1000, 0.2525, 0.10936972657568356, 0.25, 0.10782723043192392, 0.3818278709200178, 0.47542174642844565
9.339080459770115e-09, 1000, 0.2475, 0.10947472631318422, 0.255, 0.10952472618818453, 0.384138715121123, 0.4794836008480207
9.71264367816092e-09, 1000, 0.2475, 0.10821972945067637, 0.255, 0.11105722235694411, 0.4078112678019489, 0.5166231030250742
1.0086206896551724e-08, 1000, 0.2475, 0.10686723283191792, 0.255, 0.11017722455693861, 0.4233583264872647, 0.5342190959048887
1.0459770114942528e-08, 1000, 0.25, 0.10670723323191691, 0.2575, 0.10842472893817766, 0.4335254467559113, 0.5498197183399148
