beta,gamma_freq,gamma_amp,gamma_mean,frequency
5.0000000000000004e-08, 0.0, 0.0, 0, 0.26
5.0000000000000004e-08, 0.0, 28.571428571428573, 0, 0.26
5.0000000000000004e-08, 0.0, 57.142857142857146, 0, 0.26
5.0000000000000004e-08, 0.0, 85.71428571428572, 0, 0.26
5.0000000000000004e-08, 0.0, 114.28571428571429, 0, 0.26
5.0000000000000004e-08, 0.0, 142.85714285714286, 0, 0.26
5.0000000000000004e-08, 0.0, 171.42857142857144, 0, 0.26
5.0000000000000004e-08, 0.0, 200.0, 0, 0.26
5.0000000000000004e-08, 7.142857142857143, 0.0, 0, 0.26
5.0000000000000004e-08, 7.142857142857143, 28.571428571428573, 0, 0.27
5.0000000000000004e-08, 7.142857142857143, 57.142857142857146, 0, 0.2825
5.0000000000000004e-08, 7.142857142857143, 85.71428571428572, 0, 0.305
5.0000000000000004e-08, 7.142857142857143, 114.28571428571429, 0, 0.3275
5.0000000000000004e-08, 7.142857142857143, 142.85714285714286, 0, 0.3575
5.0000000000000004e-08, 7.142857142857143, 171.42857142857144, 0, 0.3825
5.0000000000000004e-08, 7.142857142857143, 200.0, 0, 0.425
5.0000000000000004e-08, 14.285714285714286, 0.0, 0, 0.26
5.0000000000000004e-08, 14.285714285714286, 28.571428571428573, 0, 0.26
5.0000000000000004e-08, 14.285714285714286, 57.142857142857146, 0, 0.2625
5.0000000000000004e-08, 14.285714285714286, 85.71428571428572, 0, 0.28
5.0000000000000004e-08, 14.285714285714286, 114.28571428571429, 0, 0.2875
5.0000000000000004e-08, 14.285714285714286, 142.85714285714286, 0, 0.2975
5.0000000000000004e-08, 14.285714285714286, 171.42857142857144, 0, 0.33
5.0000000000000004e-08, 14.285714285714286, 200.0, 0, 0.335
5.0000000000000004e-08, 21.42857142857143, 0.0, 0, 0.26
5.0000000000000004e-08, 21.42857142857143, 28.571428571428573, 0, 0.26
5.0000000000000004e-08, 21.42857142857143, 57.142857142857146, 0, 0.265
5.0000000000000004e-08, 21.42857142857143, 85.71428571428572, 0, 0.27
5.0000000000000004e-08, 21.42857142857143, 114.28571428571429, 0, 0.2725
5.0000000000000004e-08, 21.42857142857143, 142.85714285714286, 0, 0.295
5.0000000000000004e-08, 21.42857142857143, 171.42857142857144, 0, 0.3
5.0000000000000004e-08, 21.42857142857143, 200.0, 0, 0.32
5.0000000000000004e-08, 28.571428571428573, 0.0, 0, 0.26
5.0000000000000004e-08, 28.571428571428573, 28.571428571428573, 0, 0.26
5.0000000000000004e-08, 28.571428571428573, 57.142857142857146, 0, 0.2625
5.0000000000000004e-08, 28.571428571428573, 85.71428571428572, 0, 0.2675
5.0000000000000004e-08, 28.571428571428573, 114.28571428571429, 0, 0.2725
5.0000000000000004e-08, 28.571428571428573, 142.85714285714286, 0, 0.2925
5.0000000000000004e-08, 28.571428571428573, 171.42857142857144, 0, 0.3025
5.0000000000000004e-08, 28.571428571428573, 200.0, 0, 0.3275
5.0000000000000004e-08, 35.714285714285715, 0.0, 0, 0.26
5.0000000000000004e-08, 35.714285714285715, 28.571428571428573, 0, 0.265
5.0000000000000004e-08, 35.714285714285715, 57.142857142857146, 0, 0.2725
