beta,seed,gamma_freq,gamma_amp,gamma_mean,frequency
5.0000000000000004e-08, 100, 0.0, 100, 0, 0.26
5.0000000000000004e-08, 100, 0.06722689075630252, 100, 0, 0.2475
5.0000000000000004e-08, 100, 0.13445378151260504, 100, 0, 0.2575
5.0000000000000004e-08, 100, 0.20168067226890757, 100, 0, 0.24
5.0000000000000004e-08, 100, 0.2689075630252101, 100, 0, 0.2775
5.0000000000000004e-08, 100, 0.3361344537815126, 100, 0, 0.3225
5.0000000000000004e-08, 100, 0.40336134453781514, 100, 0, 0.35
5.0000000000000004e-08, 100, 0.47058823529411764, 100, 0, 0.3675
5.0000000000000004e-08, 100, 0.5378151260504201, 100, 0, 0.3725
5.0000000000000004e-08, 100, 0.6050420168067226, 100, 0, 0.3975
5.0000000000000004e-08, 100, 0.6722689075630252, 100, 0, 0.3925
5.0000000000000004e-08, 100, 0.7394957983193277, 100, 0, 0.3825
5.0000000000000004e-08, 100, 0.8067226890756303, 100, 0, 0.395
5.0000000000000004e-08, 100, 0.8739495798319328, 100, 0, 0.4075
5.0000000000000004e-08, 100, 0.9411764705882353, 100, 0, 0.4025
5.0000000000000004e-08, 100, 1.0084033613445378, 100, 0, 0.395
5.0000000000000004e-08, 100, 1.0756302521008403, 100, 0, 0.4225
5.0000000000000004e-08, 100, 1.1428571428571428, 100, 0, 0.4025
5.0000000000000004e-08, 100, 1.2100840336134453, 100, 0, 0.4025
5.0000000000000004e-08, 100, 1.2773109243697478, 100, 0, 0.4375
5.0000000000000004e-08, 100, 1.3445378151260503, 100, 0, 0.4325
5.0000000000000004e-08, 100, 1.4117647058823528, 100, 0, 0.405
5.0000000000000004e-08, 100, 1.4789915966386553, 100, 0, 0.4
5.0000000000000004e-08, 100, 1.5462184873949578, 100, 0, 0.435
5.0000000000000004e-08, 100, 1.6134453781512605, 100, 0, 0.42
5.0000000000000004e-08, 100, 1.680672268907563, 100, 0, 0.4175
5.0000000000000004e-08, 100, 1.7478991596638656, 100, 0, 0.435
5.0000000000000004e-08, 100, 1.815126050420168, 100, 0, 0.3975
5.0000000000000004e-08, 100, 1.8823529411764706, 100, 0, 0.4175
5.0000000000000004e-08, 100, 1.949579831932773, 100, 0, 0.4225
5.0000000000000004e-08, 100, 2.0168067226890756, 100, 0, 0.4425
5.0000000000000004e-08, 100, 2.084033613445378, 100, 0, 0.43
5.0000000000000004e-08, 100, 2.1512605042016806, 100, 0, 0.3975
5.0000000000000004e-08, 100, 2.2184873949579833, 100, 0, 0.41
5.0000000000000004e-08, 100, 2.2857142857142856, 100, 0, 0.41
5.0000000000000004e-08, 100, 2.3529411764705883, 100, 0, 0.4025
5.0000000000000004e-08, 100, 2.4201680672268906, 100, 0, 0.42
5.0000000000000004e-08, 100, 2.4873949579831933, 100, 0, 0.365
5.0000000000000004e-08, 100, 2.5546218487394956, 100, 0, 0.3925
5.0000000000000004e-08, 100, 2.6218487394957983, 100, 0, 0.395
5.0000000000000004e-08, 100, 2.6890756302521006, 100, 0, 0.3925
5.0000000000000004e-08, 100, 2.7563025210084033, 100, 0, 0.3925
5.0000000000000004e-08, 100, 2.8235294117647056, 100, 0, 0.4025
5.0000000000000004e-08, 100, 2.8907563025210083, 100, 0, 0.3775
5.0000000000000004e-08, 100, 2.9579831932773106, 100, 0, 0.38
5.0000000000000004e-08, 100, 3.0252100840336134, 100, 0, 0.3425
5.0000000000000004e-08, 100, 3.0924369747899156, 100, 0, 0.37
5.0000000000000004e-08, 100, 3.1596638655462184, 100, 0, 0.3425
5.0000000000000004e-08, 100, 3.226890756302521, 100, 0, 0.3575
5.0000000000000004e-08, 100, 3.2941176470588234, 100, 0, 0.3425
5.0000000000000004e-08, 100, 3.361344537815126, 100, 0, 0.36
5.0000000000000004e-08, 100, 3.4285714285714284, 100, 0, 0.3425
5.0000000000000004e-08, 100, 3.495798319327731, 100, 0, 0.34
5.0000000000000004e-08, 100, 3.5630252100840334, 100, 0, 0.3275
5.0000000000000004e-08, 100, 3.630252100840336, 100, 0, 0.3525
5.0000000000000004e-08, 100, 3.6974789915966384, 100, 0, 0.3425
5.0000000000000004e-08, 100, 3.764705882352941, 100, 0, 0.335
5.0000000000000004e-08, 100, 3.8319327731092434, 100, 0, 0.34
5.0000000000000004e-08, 100, 3.899159663865546, 100, 0, 0.3375
5.0000000000000004e-08, 100, 3.9663865546218484, 100, 0, 0.34
5.0000000000000004e-08, 100, 4.033613445378151, 100, 0, 0.325
5.0000000000000004e-08, 100, 4.100840336134453, 100, 0, 0.3175
