tau,beta,gamma,frequency,up,down
0.2, 2.5000000000000002e-08, -9.999999999999999e-05, 0.006666666666666667, 149.7742242705579, 0.0 
0.275, 2.5000000000000002e-08, -9.999999999999999e-05, 0.006666666666666667, 149.7742242705579, 0.0 
0.35000000000000003, 2.5000000000000002e-08, -9.999999999999999e-05, 0.006666666666666667, 149.77522327821032, 0.0 
0.4, 2.5000000000000002e-08, -9.999999999999999e-05, 0.006666666666666667, 149.77522327821032, 0.0 
0.8, 2.5000000000000002e-08, -9.999999999999999e-05, 0.006666666666666667, 149.7742242705579, 0.0 
1.2, 2.5000000000000002e-08, -9.999999999999999e-05, 0.006666666666666667, 149.77522327821032, 0.0 
1.6, 2.5000000000000002e-08, -9.999999999999999e-05, 0.006666666666666667, 149.7742242705579, 0.0 
0.2, 3.3333333333333334e-08, -9.999999999999999e-05, 0.013333333333333334, 74.76373469020774, 0.23576580596607372 
0.275, 3.3333333333333334e-08, -9.999999999999999e-05, 0.02666666666666667, 37.05119581215992, 0.5198169817980806 
0.35000000000000003, 3.3333333333333334e-08, -9.999999999999999e-05, 0.02666666666666667, 36.86063510246489, 0.7732319229565299 
0.4, 3.3333333333333334e-08, -9.999999999999999e-05, 0.02666666666666667, 36.8528927931588, 0.7835550020313157 
0.8, 3.3333333333333334e-08, -9.999999999999999e-05, 0.05333333333333334, 17.876118056064314, 0.9644705307014084 
1.2, 3.3333333333333334e-08, -9.999999999999999e-05, 0.05333333333333334, 17.396219755043326, 1.5129257318682492 
1.6, 3.3333333333333334e-08, -9.999999999999999e-05, 0.06, 14.65411025048452, 2.2341557386329582 
0.2, 5.0000000000000004e-08, -9.999999999999999e-05, 0.7933333333333333, 0.6637188571956898, 0.5984987116187752 
0.275, 5.0000000000000004e-08, -9.999999999999999e-05, 0.7533333333333333, 0.6023574105179417, 0.729016914626709 
0.35000000000000003, 5.0000000000000004e-08, -9.999999999999999e-05, 0.68, 0.6208734617730701, 0.8554868500589746 
0.4, 5.0000000000000004e-08, -9.999999999999999e-05, 0.6333333333333333, 0.6477881094253393, 0.9285138464586173 
0.8, 5.0000000000000004e-08, -9.999999999999999e-05, 0.4533333333333333, 0.9181027238433354, 1.3003202888116216 
1.2, 5.0000000000000004e-08, -9.999999999999999e-05, 0.36666666666666664, 1.1269169594566368, 1.621370919701245 
1.6, 5.0000000000000004e-08, -9.999999999999999e-05, 0.31333333333333335, 1.3648570079961708, 1.8566774395404908 
0.2, 7.500000000000001e-08, -9.999999999999999e-05, 0.9266666666666666, 0.22177969883249307, 0.8599863266256967 
0.275, 7.500000000000001e-08, -9.999999999999999e-05, 0.8333333333333334, 0.2562334747484166, 0.9477279450799304 
0.35000000000000003, 7.500000000000001e-08, -9.999999999999999e-05, 0.7533333333333333, 0.2813400046219575, 1.052365364690122 
0.4, 7.500000000000001e-08, -9.999999999999999e-05, 0.6866666666666666, 0.3018748948859667, 1.153031126336075 
0.8, 7.500000000000001e-08, -9.999999999999999e-05, 0.4866666666666667, 0.44368256299199416, 1.617143637320262 
1.2, 7.500000000000001e-08, -9.999999999999999e-05, 0.38666666666666666, 0.5978371828810968, 2.0054465196150777 
1.6, 7.500000000000001e-08, -9.999999999999999e-05, 0.3333333333333333, 0.7140307294753879, 2.3155366349698077 
0.2, 1.0000000000000001e-07, -9.999999999999999e-05, 0.8666666666666667, 0.1731280261606804, 0.9843013304458658 
0.275, 1.0000000000000001e-07, -9.999999999999999e-05, 0.7866666666666666, 0.2013000419583214, 1.0749066184000815 
0.35000000000000003, 1.0000000000000001e-07, -9.999999999999999e-05, 0.7066666666666667, 0.22455053137782513, 1.1987140392923983 
0.4, 1.0000000000000001e-07, -9.999999999999999e-05, 0.6733333333333333, 0.23766490962211861, 1.2466416692751867 
0.8, 1.0000000000000001e-07, -9.999999999999999e-05, 0.47333333333333333, 0.35245271387229526, 1.767344437858394 
1.2, 1.0000000000000001e-07, -9.999999999999999e-05, 0.3933333333333333, 0.4206668833252755, 2.1380658431015998 
1.6, 1.0000000000000001e-07, -9.999999999999999e-05, 0.3466666666666667, 0.5283405663195073, 2.3812620639968216 
